ts,pool,name,tier,price,vol_1h,baseline,multiple,buyer_base,buyer_mult,turnover,chg_1h,liquidity,mcap,buyers,sellers,age_days,fired
2026-08-18T08:17:55+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.002173190913077551,22705.9049916744,7333.34070622648,3.1,,,2.1306,-0.642,166069.0035,2173190.913,67,145,8.4,0
2026-08-18T09:05:13+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0022125535336421707,18758.9765239051,7333.34070622648,2.6,,,2.0739,0.095,165621.9664,2212553.534,74,135,8.4,0
2026-08-18T09:50:24+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.002304769509097753,23505.1426528094,7333.34070622648,3.2,,,1.9584,3.416,169243.7498,2313620.066,60,167,8.5,0
2026-08-18T10:35:39+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0022456744750424217,17957.4404457872,7333.34070622648,2.4,,,1.9838,-3.044,166803.446,2245674.475,59,115,8.5,0
2026-08-18T11:04:49+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0023416923952660528,20587.1258560458,7333.34070622648,2.8,,,1.8939,2.634,172360.4455,2341830.622,61,116,8.5,0
2026-08-18T11:43:21+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0024550685814140787,38910.7196895971,7333.34070622648,5.3,,,1.8101,7.016,177784.1178,2455068.581,96,180,8.6,0
2026-08-18T12:14:45+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0022866455730787623,36278.149430751,7333.34070622648,4.9,,,1.938,-3.709,170692.8043,2286645.573,105,183,8.6,0
2026-08-18T13:13:44+00:00,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET / SOL,A,0.0020691822279688505,148290.632020264,35206.25789098566,4.2,,,4.2058,-17.399,294250.8525,2069182.228,167,102,11.5,0
2026-08-18T13:13:44+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0021340808638532173,70927.9213583456,7333.34070622648,9.7,,,2.0712,-6.307,167113.2927,2134080.864,148,297,8.6,0
2026-08-18T14:00:16+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.001908290336333214,71142.3128818064,7333.34070622648,9.7,,,2.3101,-12.973,152910.5416,1871326.275,206,245,8.7,0
2026-08-18T14:00:16+00:00,68C62WPYiiNZxprbuaMj2ULXpiTDKcs5xsX7kBGnyajR,MANLET / SOL,A,0.0020520403286202354,100678.20345046,35206.25789098566,2.9,,,4.259,-1.423,300838.2565,2053340.827,110,81,11.6,0
2026-08-18T14:54:26+00:00,9R27f7ibnqi9jfk5LdWHRhX7faJBPPZyr5Va35RYWwoo,LAYOOO / SOL,A,0.0018702076125519142,213055.16185933,7333.34070622648,29.1,,,2.3308,-3.633,155664.348,1877512.654,522,516,8.7,0
